Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/get_method,150,110,88,175,"18,51","0,000%","41,24278","6,77","6,04","168,0"
/user_info_2,150,108,87,171,"16,72","0,000%","41,27683","18,66","9,96","463,0"
/user_info_3,150,108,88,170,"17,31","0,000%","41,18616","14,84","9,93","369,0"
/object_info_1,150,109,88,175,"17,95","0,000%","40,82744","9,17","6,50","230,0"
/object_info_2,150,107,89,163,"16,30","0,000%","40,72767","18,41","6,56","463,0"
/object_info_3,150,107,87,175,"19,32","0,000%","40,63939","20,80","6,55","524,0"
/object_info_4,150,109,87,171,"17,73","0,000%","40,69452","9,38","6,56","236,0"
TOTAL,1050,108,87,175,"17,75","0,000%","245,90164","84,15","44,67","350,4"
