Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/get_method,1500,6222,86,21063,"8858,89","24,067%","10,81050","8,39","1,19","794,6"
/user_info_2,1500,6318,86,21068,"8902,56","24,467%","10,81050","10,78","1,96","1021,5"
/user_info_3,1500,6471,87,21072,"8952,19","25,067%","10,80941","10,20","1,95","966,1"
/object_info_1,1500,6373,86,21077,"8856,65","23,600%","10,81284","8,75","1,31","828,7"
/object_info_2,1500,6193,87,21076,"8779,47","23,000%","10,81549","10,44","1,33","988,7"
/object_info_3,1500,6366,86,21061,"8864,13","23,867%","10,82001","11,13","1,32","1053,0"
/object_info_4,1500,6305,85,21065,"8874,62","23,867%","9,41525","7,71","1,15","839,1"
TOTAL,10500,6321,85,21077,"8870,35","23,990%","65,54266","59,36","8,99","927,4"
